Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Droguerie St Ferdinand;41 rue St Ferdinand;75017;Bricolage;Livraisons à domicile, Retrait de commandes en magasin;"Nous sommes une droguerie quincaillerie articles ménagers matériels électriques etc ... . 

Vous trouverez tous ce dont vous avez besoin pour la déco ,l’entretien et le bricolage de la maison .";;http://www.drogueriestferdinand.fr;01 55 37 98 45;Drogueriestferdinand@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.287196966729418, 48.87755347100469]}";48.877553471,2.28719696673
Food2rue la Panaméenne;1 place Alice Guy;75014;Restaurant ou traiteur;Retrait de commandes en magasin;Nous somme un chantier d'insertion avec une mission d'accompagnement des femmes salariées de notre épicerie sociale, solidaire et  équitable.;;http://www.food2rue.org- page facebook: food2rue;01 45 45 33 76;contact@food2rue.org;"{""type"": ""Point"", ""coordinates"": [2.313398650066751, 48.82675536833805]}";48.8267553683,2.31339865007
ATELIER MAIWAX;59 RUE DES POISSONNIERS;75018;Articles médicaux et orthopédiques;Retrait de commandes en magasin;;;http://www.maiwax.com;01 49 25 42 91;contact@maiwax.com;"{""type"": ""Point"", ""coordinates"": [2.351399127278984, 48.89013311846354]}";48.8901331185,2.35139912728
Ni une ni deux;9 avenue Gambetta;75020;Artisanat d'art;Retrait de commandes en magasin;"Nous fabriquons dans notre boutique-atelier des bijoux en bois éco-responsable et cuir recyclé. Nous sommes lauréates du label ""Fabriqué à Paris""";;http://www.niunenideux-bijoux.com;06 63 78 46 39;niunenideux.bijoux@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.389574054492055, 48.8635189396946]}";48.8635189397,2.38957405449
TENTATION FLEURS;36 rue des Plantes;75014;Fleuriste;Retrait de commandes en magasin;Fleurs coupées, bouquets composés, plantes ornementales etc;;;06 14 66 13 49;Nolleau.cyril@neuf.fr;"{""type"": ""Point"", ""coordinates"": [2.322863140696648, 48.829731058562935]}";48.8297310586,2.3228631407
ILE SUSHI;21 Rue Saint-Denis;75001;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Des sushis frais tout au long de l'année . Arrivage de poissons tous les jours.
Nous faisons de la vente emporter et livraison à domicile uniquement avec la plateforme Deliveroo et ubereats";;https://ilesushi.fr/;01 44 82 98 63;ilesushi@foxmail.com;"{""type"": ""Point"", ""coordinates"": [2.347778603802378, 48.85950444369115]}";48.8595044437,2.3477786038
La Parisienne;51 rue jouffroy d’abbans;75017;Autre;Retrait de commandes en magasin;-20% sur les produits de revente pendant le confinement sur les marques Secret by Phyto et ABC.;;http://laparisienne17.fr;01 42 27 13 84;laparisienne17@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.306931564484388, 48.8848931745113]}";48.8848931745,2.30693156448
Cash Express;10 rue de lyon;75012;Équipements informatiques;Livraisons à domicile, Retrait de commandes en magasin;Cash Express vous propose des produits divers d'occasion, garantis 6 mois minimum. Smartphone, jeux vidéos, informatique, photo, musique etc.;;http://www.cashexpress.fr/produits-occasions/magasin-paris-12,326.html;06 66 98 51 92;paris12@cashexpress.fr;"{""type"": ""Point"", ""coordinates"": [2.371932411748347, 48.84735841386663]}";48.8473584139,2.37193241175
Le Cactus à Idées;18 rue Brézin;75014;Fleuriste;Retrait de commandes en magasin;Le Cactus à Idées est un concept store qui propose des cactus, des succulentes, des terrariums et une sélection de plantes tendances: Calathea, alocasia, marantha, philo et un peu de déco!;;http://www.le-cactus-a-idees.com;06 15 30 09 44;Contact@le-cactus-a-idees.com;"{""type"": ""Point"", ""coordinates"": [2.327914867177686, 48.83125897572786]}";48.8312589757,2.32791486718
Rayondor-bagages;178, rue du temple;75003;Autre;Livraisons à domicile, Retrait de commandes en magasin;Spécialiste du bagage et du sac depuis 63 ans.Vous pouvez payer sur notre site rayondor-bagages.fr et retirer les produits de 12h à 18h du lundi au vendredi. Tel: 0142720376;;http://www.rayondor-bagages.fr;01 42 72 03 76;conyact@rayondor-bagages.fr;"{""type"": ""Point"", ""coordinates"": [2.362695421019065, 48.866862070245]}";48.8668620702,2.36269542102
SOLIFA Le tiers Mythe;21 rue Cujas;75005;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Librairie spécialisée dans les domaines des sciences humaines, Afrique, Asie, Amérique latine, Monde arabe, littérature, existe depuis 1974 comme librairie indépendante au cœur du quartier latin.;;http://www.solifa.com;01 43 26 72 70;letiersmythe@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.342060889133026, 48.847956976105316]}";48.8479569761,2.34206088913
Taokan saint germain;8 rue du sabot;75006;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Cuisine chinoise gastronomique contemporaine proposant un large choix de plats fait maison soigneusement préparés par nos soins. 
Notre carte sur www.Taokan.fr";;http://www.taokan.fr;01 42 84 18 36;Stgermain.taokan@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.331465693529415, 48.85266360035703]}";48.8526636004,2.33146569353
BOTTLES;57 Rue sainte Anne;75002;Caviste - Brasserie;Retrait de commandes en magasin;Nous proposons environ 200 références de vins naturels et de la charcuterie artisanale et fromages affinés à la coupe.;Caviste, Charcuteries, Fromages;https://www.bottles-paris.com;01 42 61 93 90;contact@bottles-paris.com;"{""type"": ""Point"", ""coordinates"": [2.336197786069045, 48.8678602311582]}";48.8678602312,2.33619778607
Les fleurs, c’est lui!!!;76 avenue Ledru Rollin;75012;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;"Boutique de fleurs & plantes.
Click&Collect et livraison des bouquets de fleurs fraîches, séchées et aussi des plantes";;https://www.lesfleurscestlui.fr;01 43 44 38 62;lesfleurscestlui@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3742032789429, 48.84937533470656]}";48.8493753347,2.37420327894
EL SOL;22 RUE DE PONTHIEU;75008;Épicerie fine;Livraisons à domicile, Retrait de commandes en magasin;Epicerie fine espagnole et comptoir de dégustation: jambon Bellota, grands vins espagnols, tapas;;https://www.el-sol.fr;06 65 14 73 57;josemaria@elsol.fr;"{""type"": ""Point"", ""coordinates"": [2.309559245951602, 48.87075469956383]}";48.8707546996,2.30955924595
JADIS ET GOURMANDE;29 rue Beaurepaire;75010;Chocolaterie - Pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;Chocolats haut de gamme - spécialité de Noël - personnalisation sur place ou en ligne - vente en ligne - clic & collect.;CHOCOLATERIE;https://www.jadisetgourmande.fr;09 54 71 71 41;be@jadisetgourmande.fr;"{""type"": ""Point"", ""coordinates"": [2.364153537738341, 48.87136862226402]}";48.8713686223,2.36415353774
La terrasse;144 rue de Clignancourt;75018;Restaurant ou traiteur;Retrait de commandes en magasin;Nous proposons de 8h à 14h de la vente à emporter de café, boissons chaudes et fraîches, ainsi que de nombreux plats de produits frais à emporter. Menu du jour et carte actualisée quotidiennement.;Bar, brasserie;;01 46 06 22 04;w.dapoigny@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.349676583912931, 48.89531559286091]}";48.8953155929,2.34967658391
LA QUINCAVE;17 rue Bréa;75006;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Cave à vins naturels. Vente à emporter sur place et livraison sur Paris.;;https://www.laquincave.fr;06 62 64 29 97;laquincavevin@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.33008309433169, 48.84298403622614]}";48.8429840362,2.33008309433
PLUME ET BILLE;38 rue de l'Arcade;75008;Presse et papeterie;Livraisons à domicile, Retrait de commandes en magasin;"Une jolie boutique de stylos, Montblanc, ST Dupont, Caran d'Ache, Graf von Faber-Castell, Diplomat, carnets, accessoires de bureau et papeterie. 
Le conseil d'un spécialiste à votre service !";Stylos Cadeaux;https://www.plumeetbille.com;06 03 88 77 36;info@plumeetbille.com;"{""type"": ""Point"", ""coordinates"": [2.324323961553759, 48.87317762051437]}";48.8731776205,2.32432396155
Via Del Gusto;344 Rue de Vaugirard;75015;Restaurant ou traiteur;Retrait de commandes en magasin;"Pizza romaine, ingrédients frais et de qualité. Une sélection de vins Italiens
Nos horaires Mardi à Samedi
?? Midi=> 12:00 à 14:00
?? Soir=> 19:00 à 21:00
 Dimanche & Lundi => Fermé";;https://pickup.deliverect.com/viadelgusto/fr/order/;01 48 28 39 36;info@viadelgusto.fr;"{""type"": ""Point"", ""coordinates"": [2.294637988327768, 48.83647220947765]}";48.8364722095,2.29463798833
Datcha;35 rue de Paradis;75010;Autre;Livraisons à domicile, Retrait de commandes en magasin;Personnalisez votre intérieur avec nos objets au design exclusif signés Datcha ? Arts de la table, assiettes au design original, mugs, verres, tapis en coton, .;Décoration;https://www.datchaparis.com;01 53 80 34 11;info@datcha.paris;"{""type"": ""Point"", ""coordinates"": [2.350661254923657, 48.87531065932035]}";48.8753106593,2.35066125492
Bistrot Boetie;3 rue la Boétie;75008;Restaurant ou traiteur;Retrait de commandes en magasin;Petite brasserie traditionnelle dont les plats sont préparés par le chef tous les matins. Nous sommes heureux de vous proposer nos plats à emporter du lundi au vendredi de 11h30 à 14h30.;;;01 42 65 09 29;bistrot.boetie@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.319045407900275, 48.874358136039305]}";48.874358136,2.3190454079
terres d'Aligre;5 rue de Prague;75012;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Librairie spécialisée art contemporain, céramique et métiers d'art. Ouvrages techniques, monographies d'artiste, histoire, sociologie des métiers d'art, thèmes d'inspiration...;;http://terres-d-aligre.over-blog.com/;06 76 28 23 06;terresdaligre@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.375845857430337, 48.84887316485085]}";48.8488731649,2.37584585743
À la Mère de Famille;30, rue Legendre;75017;Boulangerie - pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;La plus ancienne chocolaterie de Paris;;http://www.lameredefamille.com;01 47 63 52 94;contact@lameredefamille.com;"{""type"": ""Point"", ""coordinates"": [2.31423607835271, 48.88406966262518]}";48.8840696626,2.31423607835
Balkal;4 rue Reaumur;75003;Autre;Livraisons à domicile;Pour toute commande sur notre site livraison à domicile gratuite à partir de 50 euros;;http://www.kebijoox.fr;;muysr@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.359419793953379, 48.86484615155614]}";48.8648461516,2.35941979395
Christian Morel;44 rue Oberkampf;75011;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;"La boutique restera ouverte en drive et en livraison de fleurs à paris et banlieu pendant tout le confinement.
Nous serons là, ainsi que nos fleurs fraiches, fleurs séchées, plantes d'intérieurs :)";;http://www.christianmorel.com;01 49 23 94 33;contact@christianmorel.com;"{""type"": ""Point"", ""coordinates"": [2.372297956717958, 48.86454648052124]}";48.8645464805,2.37229795672
Benneton Graveur;75 boulevard Malesherbes;75008;Presse et papeterie;Retrait de commandes en magasin;Papeterie de prestige : Impression et gravure de Cartes de Visite, Cartes de Voeux, Faire-Parts de Mariage, de Naissance, Invitations, Ex-Libris, Accessoires de bureau, Bronzes et Chevalières;;https://boutique.bennetongraveur.com/html/boutique.htm;01 43 87 57 39;atelier@bennetongraveur.com;"{""type"": ""Point"", ""coordinates"": [2.316800787590665, 48.877114041364514]}";48.8771140414,2.31680078759
LUCKY LUCIANO;1 cour des petites écuries;75010;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;https://www.luckylucianopizza.fr/;;https://www.luckylucianopizza.fr/;09 51 55 73 41;vgrossfeld@groupecode.fr;"{""type"": ""Point"", ""coordinates"": [2.35372578614969, 48.872271595535295]}";48.8722715955,2.35372578615
Le Colisée Wagram;4 Rue Bremontier;75017;Restaurant ou traiteur;Retrait de commandes en magasin;Vente à emporter le midi de 11h45 à 14h ( pizzas, salades composées, pâtes) à retirer sur place.;;<Nul>;06 70 31 28 95;f.madelaigue@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.304763464326351, 48.88423252632281]}";48.8842325263,2.30476346433
SASU Alex & Gigi / Bistrot Firmin le barbier;20 rue de Monttessuy;75007;Restaurant ou traiteur;Retrait de commandes en magasin;Aux pieds de la Tour Eiffel, maître-restaurtateur, cuisine française avec des accents de Thailande;;http://firminlebarbier.fr;01 45 51 21 55;alexandrevialatte@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.298532918733958, 48.85947681609305]}";48.8594768161,2.29853291873
GROUND ZERO;114 RUE DU FAUBOURG POISSONNIERE;75010;Disquaire;Livraisons à domicile, Retrait de commandes en magasin;GROUND ZERO est à la fois un disquaire et une boutique de Hi-Fi spécialisé sur les platines vinyles.;;http://www.groundzero.fr;09 83 20 84 42;boutique@groundzero.fr;"{""type"": ""Point"", ""coordinates"": [2.3494801634061853, 48.87930364345915]}";48.8793036435,2.34948016341
AlaSena;26 rue Chanoinesse;75004;Restaurant ou traiteur;Retrait de commandes en magasin;Restaurant-traitteur latino-américain vente de vins vivants et bières artisanales. Tout est fait maison.;;;09 53 87 22 74;Alasenaparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.350163522050337, 48.854266734808704]}";48.8542667348,2.35016352205
Le grand établi;266, Rue des Pyrénées;75020;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Spécialiste : meubles; arts de la table; décoration de la maison; senteurs et cadeaux";;;01 40 33 17 47;legrandetabli@free.fr;"{""type"": ""Point"", ""coordinates"": [2.394964113430516, 48.86961607849835]}";48.8696160785,2.39496411343
Les Domaines Qui Montent;75 rue Réaumur;75002;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Au cœur du quartier de Montorgueil, votre caviste à Paris Réaumur vous accueille pour vous faire découvrir une large sélection de vins, champagnes, spiritueux, et produits des terroirs.;;;01 40 15 63 46;paris.reaumur@ldqm.com;"{""type"": ""Point"", ""coordinates"": [2.349235976079582, 48.866744765774435]}";48.8667447658,2.34923597608
Cahiers d'amour;76 rue des Plantes;75014;Autre;Livraisons à domicile, Retrait de commandes en magasin;Un atelier et une boutique en ligne dans lesquels vous trouverez des cadeaux précieux, uniques et durables pour les amoureux des cahiers et des carnets.;;http://www.cahiersdamour.fr;06 30 88 17 24;floboux@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.318782009776236, 48.82543009808384]}";48.8254300981,2.31878200978
Ministry Of Spice;22 Avenue Duquesne;75007;Restaurant ou traiteur;Retrait de commandes en magasin;Ministry Of Spice propose des plats indiens, revisités au goût de notre époque ainsi que des saveurs, toutes les recettes sont réalisées sur place.;;http://www.ministryofspice.fr;06 34 69 47 19;cj00700@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.310331722658509, 48.85132700592678]}";48.8513270059,2.31033172266
African Lounge;20 bis rue Jean Giraudoux;75016;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;cuisine exotique Afrique centrale et Afrique de l'Ouest;;http://www.restaurant-africanlounge.com;01 47 20 58 14;african.loungeparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.296846696090419, 48.869490037315735]}";48.8694900373,2.29684669609
Petite Fleur et Compagnie;place Jeanne d’Arc;75013;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;Votre artisan fleuriste et son équipe préparent vos commandes de fleurs, bouquets, compositions florales. Sur commande également, vos sapins et décors de Noël.;;https://www.facebook.com/petitefleuretcie/;01 43 31 06 19;client.petitefleur@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.367298448115612, 48.830139123556535]}";48.8301391236,2.36729844812
MA PETITE FRANÇAISE;1 Boulevard des Italiens;75002;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Bonjour nous sommes une micro brasserie artisanale Bio & 100% française. Nous proposons un service de livraison à domicile & de retrait chez notre partenaire Le Cardinal;;<Nul>;06 78 41 47 48;brasseriemapetitefrancaise@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.339800228310319, 48.87176629053749]}";48.8717662905,2.33980022831
Le Loli;26 rue de wattignies;75012;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Atelier boutique de créateurs ""made in France""
Bijoux d'inspiration japonaise, pochettes, lingettes démaquillantes réutilisables, masques (enfant,adulte), cartes postales etc...";;http://www.leloli.fr/;06 42 18 21 45;leloli75@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.394825606750625, 48.83611523250341]}";48.8361152325,2.39482560675
Librairie Le Divan Perché;226 rue de la Convention;75015;Librairie;Livraisons à domicile, Retrait de commandes en magasin;"Espace pour la jeunesse de la librairie Le Divan.
20 000 titres sur une surface de 180 m2,
6 libraires spécialisés conseillent petits et grands.
Ateliers, animations et rencontres d'auteurs au RDV.";;https://www.librairie-ledivan.com/le-divan-perche-vous-conseille/ssh-2333;01 55 76 50 00;b.madrid@ledivan.com;"{""type"": ""Point"", ""coordinates"": [2.299276752315743, 48.83622963120692]}";48.8362296312,2.29927675232
Naturalia;68 boulevard Sébastopol;75003;Autre;Livraisons à domicile;Réception tous les jours de produits frais (crèmerie /fromage/produits végétaux ...) fruits et légumes;;https://www.naturalia.fr/;01 42 71 49 49;bourglabbe@naturalia.fr;"{""type"": ""Point"", ""coordinates"": [2.351636879552167, 48.86422038682065]}";48.8642203868,2.35163687955
Naturalia;21 boulevard des batignolles;75008;Autre;Livraisons à domicile;réception tous les jours de produits frais (crèmerie /fromage/produits végétaux ...) fruits et légumes .;;https://www.naturalia.fr/;01 55 30 01 46;batignolles@naturalia.fr;"{""type"": ""Point"", ""coordinates"": [2.324972745588511, 48.88281591100512]}";48.882815911,2.32497274559
Paysan Vrac;158 rue de la Convention;75015;Alimentation générale et produits de première nécessité;Livraisons à domicile, Retrait de commandes en magasin;Paysan Vrac ce sont des fruits, légumes, fromages et autres produits d'épicerie cultivés, produits, acheminés et vendus par les paysans en direct.;;https://www.paysanvrac.fr/convention/boutique/;01 44 93 59 40;convention@paysanvrac.fr;"{""type"": ""Point"", ""coordinates"": [2.292562691436343, 48.83886386306379]}";48.8388638631,2.29256269144
Vega Skateshop;18 Rue Louis Blanc;75010;Autre;Livraisons à domicile, Retrait de commandes en magasin;Vega est une boutique de skateboard qui vend également des chaussures et des vetements.;;https://vegaskateshop.fr/;01 80 06 34 98;Contact@vegaskateshop.fr;"{""type"": ""Point"", ""coordinates"": [2.366818801655767, 48.88027092004469]}";48.88027092,2.36681880166
Librairie Albin Michel;229, Boulevard Saint Germain;75007;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Une librairie généraliste avec 34000 références.;;http://librairiealbinmichel.fr;01 47 05 10 24;librairie@librairiealbinmichel.fr;"{""type"": ""Point"", ""coordinates"": [2.322763072880579, 48.85862319125281]}";48.8586231913,2.32276307288
BRING FRANCE HOME;3, rue de Birague;75004;Autre;Livraisons à domicile, Retrait de commandes en magasin;Chez Bring France Home nous avons sélectionné des cadeaux Made in France super sympas. Il y en a pour tous les goûts, tous les âges et tous les budgets.;;http://www.bringfrancehome.com;09 81 64 91 09;contact@bringfrancehome.com;"{""type"": ""Point"", ""coordinates"": [2.364891600527963, 48.85424810889134]}";48.8542481089,2.36489160053
MOBY DICK POISSONNERIE;50 RUE DU CHERCHE MIDI;75006;Poissonnerie;Retrait de commandes en magasin;;;;06 85 70 40 62;anthonysenal@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.325676606540759, 48.849214986024066]}";48.849214986,2.32567660654
GIOIA;48 RUE DAUBENTON;75005;Restaurant ou traiteur;Retrait de commandes en magasin;"EPICERIE FINE ITALIENNE
BISTRONOMIE
Planches de charcuteries & fromages italiens";;;06 77 41 27 37;gioiaenoteca@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.350129831986144, 48.840151131963935]}";48.840151132,2.35012983199
La Grivoiserie;3 rue Sainte Beuve;75006;Restaurant ou traiteur;Retrait de commandes en magasin;Petit restaurant français chaleureux et intimiste proposant une cuisine gourmande de saison;;https://lagrivoiserie.fr/;01 45 49 10 40;Lagrivoiserie@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.32986874843812, 48.84416836899257]}";48.844168369,2.32986874844
TATANKA;13 bis rue Pradier;75019;Autre;Retrait de commandes en magasin;Depuis 22 ans TATANKA propose des  jouets de tradition,peluches,puériculture,jeux de société à proximité des Buttes Chaumont.;;;06 95 53 68 97;tatankaparis19@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.381664256020339, 48.87547228816051]}";48.8754722882,2.38166425602
ATELIER AMELIE BLAISE;3 rue Godefroy Cavaignac;75011;Autre;Livraisons à domicile, Retrait de commandes en magasin;Des bijoux fantaisie de qualité fabriqués à Paris dans notre atelier, des prix accessibles, une équipe passionnée, des collections poétiques, des centaines de références disponibles...;;http://www.amelieblaise.com;01 53 17 64 46;contact@amelieblaise.com;"{""type"": ""Point"", ""coordinates"": [2.381787940175875, 48.854109702454146]}";48.8541097025,2.38178794018
Le Repaire de Bacchus;75 rue des Morillons;75015;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;"Votre caviste depuis 1983.
Vins, bières, champagnes, spiritueux.";;http://www.lerepairedebacchus.com;01 72 63 68 76;morillons@lerepairedebacchus.com;"{""type"": ""Point"", ""coordinates"": [2.302832416318238, 48.83223659044399]}";48.8322365904,2.30283241632
Lovely Baby;72 Rue du Commerce;75015;Jouets - Jeux;Retrait de commandes en magasin;L’univers du bébé et jusqu’à 4 ans. Doudous, peluches, jeux d’éveil, livres, puzzles...;;;01 48 28 12 10;fragoladeco@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.294404989409274, 48.8454300326163]}";48.8454300326,2.29440498941
ANNA COLORE INDUSTRIALE;7 RUE PAUL BERT;75011;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Meubles objets industriel vintage et béton sur mesure
CONSULTEZ 
En direct live appel vidéo FaceTime WhatsApp ou Site web  
RESERVEZ 
T: 0663144674 / MAIL contact@annacoloreindustriale.com
RECUPEREZ";;http://anna-colore-industriale.com;06 63 14 46 74;contact@annacoloreindustriale.com;"{""type"": ""Point"", ""coordinates"": [2.384478982807186, 48.851522980915036]}";48.8515229809,2.38447898281
OH and co;32 Rue Blomet;75015;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Cuisine de STREET FOOD 100% FAIT MAISON et responsable. Ici pas de congèle ni de micro-onde, livraison de produits frais journalière et une crémerie provenant directement de la ferme de Viltain 78.;;http://ohandco.fr;09 81 72 96 16;ohandcoparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3066088783713212, 48.84304146194066]}";48.8430414619,2.30660887837
La Gazelle de Pikine;89 rue de la Convention;75015;Autre;Livraisons à domicile, Retrait de commandes en magasin;C’est une boutique de couture, sur -mesure, et de retouche, prêt à porté, tout est fait sur place et à la main.pas encore de site  internet;;;06 44 85 12 37;lgp.ndeye@gmail.fr;"{""type"": ""Point"", ""coordinates"": [2.286090018102115, 48.842047076969166]}";48.842047077,2.2860900181
Laurette Broll Ceramic;47 avenue Gambetta;75020;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;"Boutique - Atelier de céramique.
Fabrication et vente sur place d'art de la table et objets de décoration en grès. L'atelier offre une très large palette de couleur d'émaux.";;https://www.laurettebroll.com;06 78 30 80 19;laurettebroll@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.393829116038252, 48.86460284575503]}";48.8646028458,2.39382911604
A L'ITALIENNE;4 RUE LOBINEAU;75006;Autre;Retrait de commandes en magasin;Produits italiens de qualité et cuisine italienne renommée;;http://www.alitalienne-traiteur.fr;06 62 59 52 61;alitalienne2@aol.com;"{""type"": ""Point"", ""coordinates"": [2.336470760547037, 48.851812887591485]}";48.8518128876,2.33647076055
La tete dans les olives;2 rue sainte Marthe;75010;Épicerie fine;Livraisons à domicile;;;;09 51 31 33 34;;"{""type"": ""Point"", ""coordinates"": [2.370828903054978, 48.87345225331857]}";48.8734522533,2.37082890305
Pita pit;259 Rue Du Faubourg Saint Antoine;75011;Restaurant ou traiteur;Livraisons à domicile;;;;06 35 32 37 92;;"{""type"": ""Point"", ""coordinates"": [2.386941002955217, 48.84987225372506]}";48.8498722537,2.38694100296
Saveurs et vous;9 rue Keller;75011;Alimentation générale et produits de première nécessité;Livraisons à domicile;Bio Circuit court;;;;saveursetvous@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.376316730808631, 48.85404364152647]}";48.8540436415,2.37631673081
Kigawa;186 rue du château;75014;Restaurant ou traiteur;Livraisons à domicile;;;http://kigawa.fr/fr/;06 43 74 25 73;14kigawa@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.324298608906517, 48.833122663244]}";48.8331226632,2.32429860891
CORNER DU FROMAGER;130 rue de la Roquette;75011;Fromagerie;Livraisons à domicile;Fromagerie Crèmerie Epicerie fine Charcuterie Vins;;https://www.ollca.com/paris/boutiques/corner-du-fromager;01 43 56 12 40;contact@cornerdufromager.com;"{""type"": ""Point"", ""coordinates"": [2.379946140474761, 48.85741421983906]}";48.8574142198,2.37994614047
O printemps de vouille;70 rue de vouille;75015;Primeur;Livraisons à domicile;Egalement oeufs, farine, lait…;;;06 48 78 40 97;;"{""type"": ""Point"", ""coordinates"": [2.309317778860613, 48.833424927957424]}";48.833424928,2.30931777886
Aprium Pharmacie des Sports;2 PLACE DU GÉNÉRAL KOENIG;75017;Pharmacies et parapharmacies;Livraisons à domicile;;;https://sports.aprium-pharmacie.fr/aprium-express;01 45 74 31 10;;"{""type"": ""Point"", ""coordinates"": [2.28505263580116, 48.880939940985954]}";48.880939941,2.2850526358
Aprium Grande Pharmacie de Grenelle;39 BOULEVARD DE GRENELLE;75015;Pharmacies et parapharmacies;Livraisons à domicile;;;https://grande-pharmacie-grenelle.aprium-pharmacie.fr/aprium-express;01 45 79 53 19;;"{""type"": ""Point"", ""coordinates"": [2.291632287071564, 48.85198279602793]}";48.851982796,2.29163228707
Jojo&co;Place d’Aligre - Marché Beauvau;75012;Boulangerie - pâtisserie;Livraisons à domicile;;;;06 18 34 26 02;contact.jojoandco@free.fr;"{""type"": ""Point"", ""coordinates"": [2.3777840639838432, 48.84896740401417]}";48.848967404,2.37778406398
Eric Kayser;61 bis avenue de la Grande Armée;75016;Boulangerie - pâtisserie;Livraisons à domicile;;;https://www.maison-kayser.com//fr/boulangeries/100001020-grande-armee.html;01 45 00 52 61;;"{""type"": ""Point"", ""coordinates"": [2.287429407570137, 48.875834993390704]}";48.8758349934,2.28742940757
Franck Gholami;96 bis rue Lemercier;75017;Restaurant ou traiteur;Livraisons à domicile;Traiteur italien;;;06 68 50 97 54;;"{""type"": ""Point"", ""coordinates"": [2.319280136077401, 48.88936660689195]}";48.8893666069,2.31928013608
Papabubble;36 Rue des Petits Champs;75002;Boulangerie - pâtisserie;Livraisons à domicile;;;https://www.epicery.com/epiceries/papabubble;+33 6 59 35 77 85;contact@papabubble.fr;"{""type"": ""Point"", ""coordinates"": [2.335519772574992, 48.867146104161485]}";48.8671461042,2.33551977257
Fruttini by MO;24, rue Saint-Placide;75006;Restaurant ou traiteur;Livraisons à domicile;Fruits, Glaces, Pâtisseries;;https://www.epicery.com/epiceries/fruttini-by-mo;01 43 20 47 31;marielaure@fruttinibymo.fr;"{""type"": ""Point"", ""coordinates"": [2.325012991008852, 48.84923832011092]}";48.8492383201,2.32501299101
Les Colis du Boucher;82 Rue de Rome;75008;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie, Fromage;;https://www.epicery.com/epiceries/les-colis-du-boucher;09 72 42 51 66;melchior@lescolisduboucher.com;"{""type"": ""Point"", ""coordinates"": [2.321092607677988, 48.881215402696355]}";48.8812154027,2.32109260768
